"model/metric","MAE","MSE","MAPE"
"GLM","1.62633144473589","4.59677465576755","14.819775815127"
"Decision Tree","1.7675959769646","5.50240159759909","16.1364636037446"
"Random Forest","1.56656671681346","4.40528114356931","14.1715969007384"
"GBM","2.26318652423465","8.88810177609905","22.6935742466785"
"BGB Tree","1.67286229536536","5.33764230747453","14.7477488362388"
